Unidade Gestora;Ano;Número;Tipo;Fornecedor;Valor Total
MUNICIPIO DE NAVEGANTES;2021;2603;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;1774.00
MUNICIPIO DE NAVEGANTES;2021;2602;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2601;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2600;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;3100.00
MUNICIPIO DE NAVEGANTES;2021;2599;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;3390.00
MUNICIPIO DE NAVEGANTES;2021;2598;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2597;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;3390.00
MUNICIPIO DE NAVEGANTES;2021;2596;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2595;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;5388.00
MUNICIPIO DE NAVEGANTES;2021;2594;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2593;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2592;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2591;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;12519.00
MUNICIPIO DE NAVEGANTES;2021;2590;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2589;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;2692.00
MUNICIPIO DE NAVEGANTES;2021;2588;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;3100.00
MUNICIPIO DE NAVEGANTES;2021;2587;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2586;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2585;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;3100.00
MUNICIPIO DE NAVEGANTES;2021;2584;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2583;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
